Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population,Tarrif Impact,Risk Category
Haiti,597.7,1214.4,616.8,0.1,10%,11637398,8.592986164089257E-9,Low Risk
Honduras**,1524.9,7057.5,5532.6,0.1,10%,10644851,9.39421322102113E-9,Low Risk
Hong Kong,21913.5,27886.4,5972.9,0.1,10%,7536100,1.3269462984833005E-8,Low Risk
Iceland,-86.8,985.8,1072.6,0.1,10%,393349,2.542271621384572E-7,Medium Risk
India,-45663.8,41752.7,87416.4,0.52,26%,1438069596,3.6159585144306186E-10,High Risk
Indonesia,-17882.6,10202.1,28084.7,0.64,32%,281190067,2.2760405686734304E-9,High Risk
Iran,84.6,90.8,6.2,0.1,10%,90608707,1.1036466947928085E-9,Low Risk
Iraq,-5761.7,1660.6,7422.3,0.78,39%,45074049,1.730485761330206E-8,High Risk
Israel*,-7425.4,14792.0,22217.5,0.33,17%,9756600,3.382325810220774E-8,High Risk
Jamaica,2282.8,2644.1,361.4,0.1,10%,2839786,3.521392104898045E-8,Low Risk
Japan,-68467.7,79740.8,148208.6,0.46,23%,124516650,3.6942850614757146E-9,High Risk
Jordan*,-1334.1,2030.8,3364.9,0.4,20%,11439213,3.49674405048669E-8,High Risk
Kazakhstan,-1253.7,1077.1,2330.7,0.54,27%,20330104,2.656159555307735E-8,High Risk
Kenya,45.2,782.5,737.3,0.1,10%,55339003,1.8070437589921886E-9,Low Risk
Kiribati (-),121.0,208.0,217.0,0.1,10%,132530,7.545461404964914E-7,Low Risk
Kosovo,15.4,49.4,34.0,0.1,10%,1756366,5.693574118378516E-8,Low Risk
Kuwait,768.2,2411.8,1643.6,0.1,10%,4853420,2.0604027675329974E-8,Low Risk
Lebanon,283.8,541.4,257.6,0.1,10%,5773493,1.7320537151426354E-8,Low Risk
Lesotho,-234.5,2.8,237.3,0.99,49%,2311472,4.282985041566586E-7,High Risk
Liberia,147.9,220.4,72.5,0.1,10%,5493031,1.8204885426643325E-8,Low Risk
Libya,-898.3,567.2,1465.6,0.61,31%,7305659,8.349691656837528E-8,High Risk
Liechtenstein,-177.7,66.0,243.7,0.73,36%,39850,1.8318695106649936E-5,High Risk
Madagascar,-679.8,53.4,733.2,0.93,46%,31195932,2.981157927899061E-8,High Risk
Malawi,-14.1,26.9,41.1,0.34,17%,21104482,1.6110321968575207E-8,High Risk
Malaysia,-24830.1,27704.8,52534.8,0.47,24%,35126298,1.338028846649311E-8,High Risk
Maldives,87.8,92.6,4.8,0.1,10%,525994,1.9011623706734298E-7,Low Risk
Mali,46.0,51.5,5.5,0.1,10%,23769127,4.207138108185463E-9,Low Risk
Marshall Islands,107.0,127.4,20.4,0.1,10%,38827,2.575527339222706E-6,Low Risk
Mauritania,136.9,139.8,2.9,0.1,10%,5022441,1.9910637078663545E-8,Low Risk
Mauritius,-186.5,48.0,234.5,0.8,40%,1261041,6.343965025720813E-7,High Risk
Mexico**,-171809.2,334041.4,505850.6,0.34,17%,129739759,2.6206307351010264E-9,High Risk
Micronesia,48.0,50.5,2.4,0.1,10%,112630,8.878629139660837E-7,Low Risk
Moldova,-82.9,53.6,136.5,0.61,30%,2457783,2.4819115438588355E-7,High Risk
Monaco,115.2,162.8,47.6,0.1,10%,38956,2.5669986651606943E-6,Low Risk
Mongolia,369.6,396.6,27.0,0.1,10%,3481145,2.872618061011535E-8,Low Risk
Montenegro,12.3,27.7,15.4,0.1,10%,616177,1.622910300124802E-7,Low Risk
Morocco*,3363.8,5268.6,1904.9,0.1,10%,37712505,2.651640351124912E-9,Low Risk
Mozambique,-66.4,149.7,216.1,0.31,15%,33635160,9.216546019106198E-9,High Risk
Namibia,-114.7,160.5,275.2,0.42,21%,2963095,1.4174368354710193E-7,High Risk
Nauru,-1.3,0.9,2.2,0.59,30%,11875,4.968421052631579E-5,High Risk
Nepal,0.4,120.9,120.5,0.1,10%,29694614,3.367614073043684E-9,Low Risk
New Caledonia,-4.5,29.4,33.8,0.13,10%,289870,4.4847690343947287E-7,Medium Risk
New Zealand,-1117.6,4499.4,5617.0,0.2,10%,5223100,3.8291436120311695E-8,Medium Risk
Nicaragua**,-1681.3,2941.0,4622.3,0.36,18%,6823613,5.2757974404468714E-8,High Risk
Niger,34.9,43.3,8.3,0.1,10%,26159867,3.822649404142613E-9,Low Risk
Nigeria,-1524.9,4174.3,5699.2,0.27,13%,227882945,1.1848188112541726E-9,Medium Risk
North Macedonia,-113.1,60.6,173.7,0.65,33%,1827816,3.556156637210748E-7,High Risk
Norway,-1991.3,4592.0,6583.3,0.3,15%,5519594,5.435182370297525E-8,Medium Risk
Oman*,634.3,1954.3,1320.0,0.1,10%,5049269,1.9804846998644756E-8,Low Risk
Pakistan,-2988.5,2135.1,5123.7,0.58,29%,247504495,2.3433917836522524E-9,High Risk
Palau,18.8,21.0,2.2,0.1,10%,17727,5.641112427370678E-6,Low Risk
Panama*,10146.3,10702.1,555.8,0.1,10%,4458759,2.2427765214491296E-8,Low Risk
Papua New Guinea,-12.0,67.2,79.2,0.15,10%,10389635,1.4437465801252883E-8,Medium Risk
Paraguay,2802.3,3158.4,356.2,0.1,10%,6844146,1.4611026708080161E-8,Low Risk
Peru*,1860.6,11223.8,9363.2,0.1,10%,33845617,2.9545923184086143E-9,Low Risk
Philippines,-4880.3,9297.3,14177.6,0.34,17%,114891199,2.9593215403731667E-9,High Risk
Qatar,1970.1,3804.2,1834.2,0.1,10%,2656032,3.765014879338803E-8,Low Risk
Russia,-2481.4,526.1,3007.5,0.83,41%,143826130,5.770856797718189E-9,High Risk
Rwanda,14.5,44.8,30.2,0.1,10%,13954471,7.166162013594066E-9,Low Risk
Samoa,48.7,54.4,5.7,0.1,10%,216663,4.615462723215316E-7,Low Risk
San Marino,54.8,80.0,25.2,0.1,10%,33860,2.9533372711163615E-6,Low Risk
Sao Tome and Principe (-),111.0,222.0,219.0,0.1,10%,230871,4.331423175712844E-7,Low Risk
Saudi Arabia,443.3,13177.0,12733.7,0.1,10%,33264292,3.006226616817818E-9,Low Risk
Senegal,115.7,350.9,235.1,0.1,10%,18077573,5.5317160107720215E-9,Low Risk
Serbia,-604.5,209.9,814.4,0.74,37%,6623183,1.1172875640005719E-7,High Risk
Seychelles,9.4,16.5,7.2,0.1,10%,119773,8.349127098761825E-7,Low Risk
Sierra Leone,91.1,119.9,28.7,0.1,10%,8460512,1.181961564501061E-8,Low Risk
Singapore*,2828.9,46032.6,43203.7,0.1,10%,5917648,1.6898605662249597E-8,Low Risk
Sint Maarten,652.4,753.9,101.5,0.1,10%,42749,2.339236005520597E-6,Low Risk
Solomon Islands,11.8,13.1,1.3,0.1,10%,5426740,1.8427269410364236E-8,Low Risk
Somalia,46.6,49.1,2.5,0.1,10%,18358615,5.447033994666809E-9,Low Risk
South Africa,-8836.8,5819.0,14655.8,0.6,30%,63212384,9.491810971723515E-9,High Risk
South Sudan,58.5,59.3,0.8,0.1,10%,11483374,8.708242020158885E-9,Low Risk
Sri Lanka,-2647.4,368.2,3015.6,0.88,44%,22037000,3.993284022326088E-8,High Risk
St Kitts and Nevis,140.6,160.2,19.6,0.1,10%,46758,2.138671457290731E-6,Low Risk
St Lucia,1036.6,1043.6,7.0,0.1,10%,179285,5.577711464985917E-7,Low Risk
St Vincent and the Grenadines,135.0,143.2,8.3,0.1,10%,101323,9.869427474512204E-7,Low Risk
Sudan,43.5,56.6,13.1,0.1,10%,50042791,1.998289823603164E-9,Low Risk
Suriname,292.6,383.5,90.9,0.1,10%,628886,1.5901133114745759E-7,Low Risk
Switzerland,-38463.3,24962.0,63425.3,0.61,30%,8888093,6.86311450611509E-8,High Risk
Syria (-),90.0,217.0,173.0,0.1,10%,23594623,4.238253775023233E-9,Low Risk
Tajikistan,52.2,56.8,4.6,0.1,10%,10389799,9.624825273328195E-9,Low Risk
Thailand,-45608.9,17719.2,63328.2,0.72,36%,71702435,1.0041499985321279E-8,High Risk
Timor-Leste,13.1,19.0,5.9,0.1,10%,1384286,7.223940717452896E-8,Low Risk
Togo,193.6,283.6,90.0,0.1,10%,9304337,1.0747676056875413E-8,Low Risk
Tonga,17.1,19.9,2.8,0.1,10%,104597,9.560503647332142E-7,Low Risk
Trinidad and Tobago,-386.2,2939.7,3325.9,0.12,10%,1367510,8.775072942793837E-8,Medium Risk
Tunisia,-619.6,503.6,1123.2,0.55,28%,12200431,4.508037461955238E-8,High Risk
Turkey,-1452.7,15293.0,16745.7,0.1,10%,85325965,1.1719761973978262E-9,Medium Risk
Turkmenistan,67.6,82.2,14.6,0.1,10%,7364438,1.3578768671825333E-8,Low Risk
Turks and Caicos Islands,702.6,713.6,11.0,0.1,10%,46198,2.16459586995108E-6,Low Risk
Tuvalu (-),106.0,226.0,222.0,0.1,10%,9816,1.0187449062754686E-5,Low Risk
Uganda,-26.3,106.3,132.6,0.2,10%,48656601,4.110439198167583E-9,Medium Risk
Ukraine,497.0,1683.5,1186.5,0.1,10%,37732836,2.650211608796116E-9,Low Risk
United Arab Emirates,19494.9,26969.3,7474.4,0.1,10%,10483751,9.53857068905967E-9,Low Risk
United Kingdom,11856.9,79941.3,68084.5,0.1,10%,68350000,1.463057790782736E-9,Low Risk
Uruguay,420.2,1649.0,1228.8,0.1,10%,3388081,2.9515232959306464E-8,Low Risk
Uzbekistan,338.4,380.8,42.4,0.1,10%,35652307,2.804867578415052E-9,Low Risk
Vanuatu,-6.1,7.6,13.7,0.45,22%,320409,1.404454931041263E-6,High Risk
Venezuela,-1755.8,4232.0,5987.9,0.29,15%,28300854,1.0247040601672302E-8,Medium Risk
Vietnam,-123463.0,13098.2,136561.2,0.9,45%,100352192,8.968413963493693E-9,High Risk
Yemen,125.2,134.1,8.9,0.1,10%,39390799,2.5386639148903785E-9,Low Risk
Zambia,-55.3,113.8,169.1,0.33,16%,20723965,1.592359377175169E-8,High Risk
Zimbabwe,-24.1,43.8,67.8,0.36,18%,16340822,2.203071546829162E-8,High Risk
